RADZIHOVSKY, L
SWIFT, JB
PAPA, E
KRISHANA, K
VASCONCELOS, GL
VEERMAN, JJP
XIAO, ZL
KOMORI, T
MEIER, F
WEBMAN, I
GRUVER, JL
WEISS, C
PORTO, M
PARMEGGIANI, A
CHERVENAK, JA
VALLES, JM
CILLA, S
SALINAS, DG
GUERON, S
FERRARI, G
MOHAN, LS
NOTT, PR
RAO, KK
HUBER, WH
MENTRUP, D
LUBAN, M
SCHEFFLER, T
SCHWARTZ, N
NAZARYEV, AL
DHULST, R
MARIA, LD
SPRINGBORG, M
CORNAGLIA, PS
CHOMAZ, P
ZUO, F
SCHLUETER, JA
WILLIAMS, JM
BANERJEE, S
FASNACHT, M
GAROFF, S
SOLJACIC, M
KLAFTER, J
MERTZ, D
KSARI, Y
DEBIERRE, JM
STEPANOV, A
DELMAS, C
GRAFF, G
SHEHTER, A
SINGH, MR
LIEBSCH, A
KIWI, M
NGUYEN, TT
ROUZINA, I
BETTELHEIM, E
LEHMANN, B
PALASSINI, M
MOLINAPARIS, C
VISSER, JPM
GUERRA, JME
RIEDEL, R
RIZK, T
YULIUS, A
YOO, WI
MCINTURFF, D
CHIN, P
WOODALL, JM
PEKAREK, TM
JACKSON, TN
JOERGER, C
CHENG, SJ
RUBEL, H
GERHARDTS, R
SPECHT, P
BECKER, V
LOPATIN, AV
RAPPOPORT, TG
FINKEN, R
BERGENHOLTZ, J
GAZEAU, J
GHIVELDER, L
CASTILLO, IA
TANDON, A
SUNTHAR, P
KUMARAN, V
SILVA, CJ
MARTINS, S
MASSUNAGA, MSO
CHANG, JCP
PAAK, S
CROOKER, BC
GRIGORESCU, M
WAIDACHER, C
CHEN, F
DESHMUKH, MM
MYERS, EB
SHAH, N
MULLER, M
TOPPARI, JJ
AUNOLA, M
SAVOLAINEN, MT
PROMBERGER, M
KASTNER, M
HUELLER, A
CARPENTER, EE
OCONNOR, CJ
SCHNEIDER, BI
LINK, DR
NATALE, G
MACLENNAN, JE
WALSH, M
KEAST, SS
NEUBERT, ME
CHIBA, J
MITANI, S
TAKANASHI, K
FUJIMORI, H
MOROZOV, VG
FUJIYAMA, S
YAMADA, N
LANTZ, J
BRUNEL, N
KOETZLER, J
VOIGTMANN, T
RITCHIE, RH
HALL, D
GOODRICH, RG
CUANSING, E
MOTRUNICH, O
BOBROFF, J
MARUCCO, JF
BLANCHARD, N
GRENIER, B
VDOVENKOV, VA
JIANG, X
KOONEN, JJ
DELLAGO, C
POSCH, HA
SCHACHINGER, E
INIGUEZ, J
PEREZMATO, JM
CHATTOPADHYAY, E
FRIED, E
SELLERS, S
MARQUES, MI
YAISH, Y
BUCHSTAB, E
SHAPIRA, S
YOSEPH, GB
DONETTI, L
FARKAS, I
ZIPPOLD, W
GARCIA, JM
TSAFRIR, I
GUEDEAUBOUDEVILLE, M
JULLIEN, L
STAVANS, J
PLACKOWSKI, T
MATUSIAK, M
NARDIS, AD
COLOMBELLI, R
KRIVOROTOV, I
BAJAJ, K
NISHIZAKI, BHS
GYGAX, FN
PINKPANK, M
GRIGERA, TS
GATICA, SM
TANABE, T
KATSUFUJI, T
WONG, CY
HARMANS, CJPM
AVETISOV, VA
BIKULOV, AH
KOZYREV, SV
PORTO, JA
AUGUET, CE
PENARANDA, A
KLIMPEL, R
CITRO, R
SABOURIGHOMI, M
KUSSELL, EL
KOLESNICHENKO, YA
KREJCIRIK, D
MAYERGOYZ, ID
SCHRAVEN, DM
NIEMOELLER, T
FRELLO, T
HUENNEFELD, H
SCHNEIDER, JR
OH, SJ
KIM, M
CHOI, CH
RI, HC
SUROVTSEV, NV
WIEDERSICH, J
NOVIKOV, VN
ROSSLER, E
DUVAL, E
HOECHST, H
NUNNER, T
SZLUFARSKA, I
SATO, KK
KATAGIRI, H
CHEN, XH
TAGA, S
IWASA, Y
TAKENOBU, T
MURO, T
FUDO, H
LIU, ZS
LI, SY
DAM, HC
TOEROEK, T
OVERBECK, E
SINN, C
CHEN, C
SUPPA, D
ALLAHYAROV, E
STEINLENEUMANN, G
PEYSSON, S
VAVILOV, MG
MAYZHES, BY
DICKINSON, PH
BASAPPA, G
NAIK, VM
ROUT, D
YARESKO, AN
JUSUFI, A
VALLA, T
FEDOROV, AV
JOHNSON, PD
HULBERT, SL
DETTMANN, CP
ZHITNITSKY, A
LOLL, R
PAPAVASSILIOU, J
LANGLANDS, RP
SAINTAUBIN, Y
DIVAKARAN, PP
ILIEVA, N
THIRRING, W
HIKAMI, K
WYSS, R
HIRSCH, JG
HOSKINSON, E
YE, Z
GUARDIOLA, R
PORTESI, M
NAVARRO, J
SCIAMA, D
PRESKILL, J
IMAMOGLU, A
SHERWIN, M
SMALL, A
SARMIENTO, A
BERMAN, OL
TSVETUS, VG
GU, S
LEE, DJ
METIKAS, G
BENGRINE, M
MHIRECH, F
ZHANG, SD
KWON, J
SIEBER, M
ZON, RV
KORDYUK, AA
NEMOSHKALENKO, VV
VIZNICHENKO, RV
HABISREUTHER, T
GAWALEK, W
SOERENSEN, CB
ALVAREZ, LF
CHUBYKALO, O
HENNING, PF
CARR, GL
LINARES, DH
ALBANO, EV
WANG, DW
WIECKO, C
MUKHOPADHYAY, R
YETHIRAJ, A
BECHHOEFER, J
ALEXANDER, TJ
PLYUSHCHAY, AI
MOTTELSON, B
GOLUB, LE
AVERKIEV, NS
DASGUPTA, T
FLEES, DJ
LUKENS, JE
KULKARNI, RV
ALMAAS, E
YASUI, K
KITA, T
GALATOLA, P
MYSLIVECEK, J
JAROLIMEK, T
VOIGTLAENDER, B
KAESTNER, M
RUBIOPONCE, A
PENA, R
MIKHAILOV, AS
VALENZUELA, SO
JORGE, GA
RODRIGUEZ, E
FARKAS, Z
VUKICS, A
PRESTER, M
NADGORNY, B
SOULEN, RJ
OSOFSKY, MS
LAPRADE, G
VEERDONK, RJMVD
SMITS, AA
CHENG, SF
SKELTON, EF
OBOZNOV, VA
PAL, L
DU, R
CHENG, S
JOHN, J
VAISNAV, UD
MALARZ, K
MAKSYMOWICZ, AZ
STANESCU, T
MORGAN, CG
GIULIANI, GF
YOON, S
EOM, B
YU, I
WANG, LG
MOHLER, G
SOPER, PD
KLEIN, ML
ALEXANDROU, I
SCHEIBE, HJ
KIELY, CJ
PAPWORTH, AJ
AMARATUNGA, GAJ
SCHULTRICH, B
PROVIDENCIA, JD
KOHLER, S
SASAKI, S
JOSIC, K
WAYNE, CE
ARAUJO, AEPD
MACHADO, FLA
BACHTOLD, A
SALVETAT, JP
DEMLER, EA
HILL, S
DEPUYDT, A
PANOV, VI
SAVINOV, SV
ARSEEV, PI
GU, RY
XING, DY
C, AG
GIANNOZZI, P
DZIURZIK, C
RAKOV, VV
BELLON, L
LAROCHE, C
GUARINO, A
GARCIMARTIN, A
PATZLAFF, H
BEHN, U
GROSFILS, P
BUNIMOVICH, LA
BRACHET, M
TAFLIN, E
TCHEOU, JM
WOODS, SI
SINGLEY, EJ
XU, M
PAN, Z
CHIN, R
MILLS, AP
LIQUN, H
AHLRICHS, P
NITTI, M
DENT, CJ
SCHAPOSNIK, FA
ASTRAKHARCHIK, GE
BYLASKA, JH
WEARE, JH
BAILEY, SWD
MIRACLESOLE, S
RUIZ, J
BUND, S
LEMBERGER, TR
PESETSKI, AA
TURNEAURE, SJ
KHOLODENKO, AL
STEFANAKIS, N
FLYTZANIS, N
JUNQUERA, J
OZANA, M
CAPEK, V
BOK, J
GLIOZZI, F
SABHAPANDIT, S
MUNTEANU, FM
PERRY, CH
LEE, X
SKIBINSKY, A
STRASSER, T
STARROST, F
HUSSER, P
SUTER, HU
STOLL, EP
MEIER, PF
YASUHARA, H
YOSHINAGA, S
HIGUCHI, M
TOBOCHNIK, J
RODER, A
OLIVEIRA, CRD
PELLEGRINO, GQ
BRANGIAN, C
LEE, ES
GECKELER, C
HEURICH, J
GUPTA, A
CHEONG, K
SECREST, S
LEE, XY
SATOU, A
FORT, A
RETTORI, A
ADAM, E
ABRAIMOV, D
ZOLOTARYUK, Y
ROMERO, DB
ARADIAN, A
RAPHAEL, E
GAJDZIK, M
KELEMEN, M
ALMARZA, NG
ENCISO, E
QIU, F
PANICONI, M
ZIMMERMANN, MV
GIBBS, D
BLUME, M
PUENTE, A
SCHIESSEL, H
GELBART, WM
SIMMONS, DGRJA
VOGEL, M
WAFFENSCHMIDT, S
PFLEIDERER, C
BIDAUX, R
VOCKA, R
SAMADANI, A
PRADHAN, A
PAULSON, S
FALVO, MR
SNIDER, N
HELSER, A
HUDSON, T
SEEGER, A
II, RMT
SUPERFINE, R
BLAS, H
PIMENTEL, BM
TOMAZELLI, JL
MITARAI, N
TAKEHANA, K
TAKAMASU, T
KIDO, G
GOLDBERGER, AL
ROSENBLUM, MG
STRUZIK, Z
WESSEL, S
SADEWASSER, S
SCHILLING, JS
WAGNER, JL
CHMAISSEM, O
KUHNE, RW
HUANG, YC
LIN, BL
SHAO, MX
JANG, ZH
LASCIALFARI, A
CANESCHI, A
MURAVYOV, VM
SHEKA, DD
AVILOV, VV
KOIVUNIEMI, JH
MEHL, H
KOMATSU, TS
BRADLEY, SC
WILKE, J
ABILIO, CC
RODRIGUEZCASTELLANOS, C
PEREZMALDONADO, MT
CHATTERJEE, J
NAKAHARA, M
OGAWA, S
JAYANTHI, CS
BABICHENKO, VS
TSORI, Y
SCHICK, DAM
FILHO, AGS
FREIRE, PTC
SASAKI, JM
GUEDES, I
FILHO, JM
MELO, FEA
LESKOVA, TA
MENDEZ, ER
VEGAREDONDO, F
CRUZ, R
MULET, R
ZIMMERMANN, MG
OSTROVSKY, B
BARYAM, Y
FJAERESTAD, JO
BACHMANN, M
MENASHE, D
ROSSNAGEL, K
BRUGMANN, J
NEUTTIENS, G
VIDHYADHIRAJA, NS
IBANES, M
VALONE, SM
RUPPRECHT, K
MENON, M
KHANRA, BC
SORELLA, NGS
MAZZONI, MSC
CHACHAM, H
SUTO, A
BECK, TL
MAYOL, C
MAHAJAN, A
KANKI, K
BANNISTER, RN
BLAIZOT, J
VAUTHERIN, D
MILLO, O
SCHWARZ, UT
ENGLISH, LQ
AGRAWAL, H
WOLPERT, DH
TUMER, K
FRANK, J
WHEELER, KR
PEPE, M
NAKAHARA, Y
ASAKAWA, M
OGURE, K
SATO, J
GONZALEZMESTRES, L
SALWEN, N
EI, SI
FUJII, K
NIEGAWA, A
KJAERGAARD, L
MANSFIELD, P
VERSHIK, AM
BIKBOV, R
CAROPPO, D
MANNARELLI, M
KITSUNEZAKI, S
CHIAO, RY
BOYCE, J
YU, T
GISIN, N
STRUNZ, WT
BLAIS, A
HOWALD, CM
LUTZ, CP
EIGLER, DM
WESTERBURG, W
MARTIN, F
FRIEDRICH, S
MAIER, M
CORONA, RM
TSUCHIURA, H
GRUPP, DE
ZHANG, T
DOLAN, GJ
GAIDIDEI, YB
CHRISTIANSEN, PL
MINGALEEV, SF
LIU, QKK
FELDMAN, JL
MANDRUS, D
MAJERNIKOVA, E
SHPYRKO, S
TRIPPENBACH, M
BAND, YB
DOERY, M
REINA, JH
GORLITZ, A
GUPTA, S
LIU, Q
DION, M
XIN, H
OATES, DE
ANDERSON, AC
SLATTERY, RL
LEE, I
BEC, J
NEUMANN, D
GAIDIDEI, GI
JOHANSSON, M
YOON, Y
DORDEVIC, SV
METZLER, R
BONALDE, IJ
KINI, AM
SCHLUETER, J
WANG, HH
GEISER, U
ADAM, H
WINTERSTETTER, M
GRIFONI, M
BULDUM, A
PALAGYI, G
AND, CC
FISHER, KD
JANIN, L
QI, S
MCCALLUM, CM
CHRISTENSEN, S
FRAZER, B
HIRAI, Y
PERFETTI, L
MORAWSKI, A
LADA, T
PASZEWIN, A
KAGEYAMA, H
ONIZUKA, K
OHTA, H
OKUBO, S
TAKAHASHI, K
TARASEVICH, YY
FRANCK, JP
JUNG, J
KECECIOGLU, E
YALABIK, MC
RUSZ, A
RAVASZ, E
CHANTRELL, RW
BELJAARS, HRW
HEUKELUM, AV
DROST, RJ
CHIKUMOTO, N
BOUFFARD, S
PETKOV, V
JEONG, I
CHUNG, JS
KYCIA, S
NISHIRA, T
GOMEZ, I
GEISINGER, T
PERESSI, M
BAL, G
FANNJIANG, A
PAPANICOLAOU, G
RYZHIK, L
LIMA, JFD
VALERIO, MEG
OKUNO, E
CHAKRABORTY, S
ORLIK, I
DORA, B
KNEZEVIC, D
KNUDSEN, HA
CEDERSTROM, AF
SAITOH, T
LANGRIDGE, S
MARROWS, CH
DEKADJEVI, DT
HICKEY, BJ
SCORRETTI, R
BULGAKOV, EN
STVREDA, P
MARINI, A
GASS, R
KOLTON, AB
BANERJEE, SR
LINDGAARD, P
NATSCHLAEGER, S
ALBERICH, J
BAUSELLS, J
RUPPIN, R
SIMO, C
DUFFY, JA
MCCARTHY, JE
COOPER, MJ
PRATO, D
GRABECKI, G
PAPIS, E
KAMINSKA, E
PIOTROWSKA, A
SPRINGHOLZ, G
PINCZOLITS, M
KAO, Y
BAZHAL, MI
VOROBIEV, EI
KALJUSHNAIA, GA
GORINA, JI
SENTURINA, NN
MUJUMDAR, S
RAMACHANDRAN, H
SOUBUSTA, J
GRILL, R
HLIDEK, P
ZVARA, M
MALZER, S
GEISSELBRECHT, W
HOECK, KH
HORN, S
RISEBOROUGH, PS
BARROSO, MA
HART, GLW
ENDOH, R
TANIGUCHI, K
NAGATA, S
WANG, Q
KORTLUKE, O
KUZOVKOV, VN
NIESSEN, WV
ROSS, J
MOBIUS, D
VISHVESHWARA, S
YOSHIZAKI, K
ONO, A
SATOH, H
OHKAWA, FJ
DOMMERSNES, PG
ANDERSEN, BML
MARRONE, A
POLOSA, AD
SCIOSCIA, G
ZENZOLA, A
HYTHA, M
SIMUNEK, A
VEDENEEV, SI
VOLKOV, BA
CHERVYAKOV, A
HAMPRECHT, B
KNETTER, C
JASCH, F
MEDVEDEV, NN
NABERUKHIN, YI
SCHOBER, HR
MADSEN, J
SMOLYANINOV, II
LEE, CH
DAVIS, CC
RUDA, H
SHIK, A
PERERA, AGU
YUAN, F
YU, WQ
ZHANG, PP
MARIN, JM
ROLLBUEHLER, J
ONO, S
EGGERS, J
KANG, W
MAY, S
BUECHNER, S
VOGEL, EE
WARREN, JP
RADWANSKI, RJ
ANDERSON, BP
HALJAN, PC
HOLLAND, MJ
WILLIAMS, JE
GRENET, G
MARTY, A
PONCHET, A
PALMA, GM
ROZENBAUM, VM
KUZMENKO, IV
PIAZZA, V
MUKHAMEDSHIN, IR
SAVINKOV, AV
PICARD, PG
DONANGELO, R
WANG, D
GOUYET, J
WANG, EG
HAI, G
TAVARES, MRS
OLSEN, NB
CHRISTENSEN, T
SCHREIBER, T
PAVLENKO, N
BILJAKOVIC, K
HOWELL, D
CLARK, D
BEHRINGER, RP
DERTINGER, A
KREYSSIG, A
RITTER, C
BRAUN, HF
QUIRION, D
DUDAREV, SL
PENG, LM
ZUO, JM
KONSTANTINOVIC, Z
LI, ZZ
RAFFY, H
ORLANDI, A
MAGALHAES, ACND
PRIMOZICH, N
CHEMLA, DS
M, MSOSINF
MATEMATICA, DD
DEDIU, VA
LPEZ, J
MATACOTTA, FC
NOZAR, P
RUANI, G
ZAMBONI, R
TALIANI, C
FOKAS, AS
IORDANSKI, SV
LIU, R
ZHU, B
HORAK, P
BARNETT, SM
RITSCH, H
INDENBOM, MV
HOLTZBERG, F
PORRAS, D
ASTALOS, RJ
HOTTA, M
PIZZAGALLI, L
BARATOFF, A
BENFATTO, L
CHAPLYGIN, I
KOEPERNIK, K
DZUBIELLA, J
SCHMIDT, M
DICKMANN, S
KOBAYASHI, N
BOZEC, D
HOWSON, MA
SHATZ, S
WISER, N
MARTIKAINEN, JP
SANTINI, P
MEHTA, AP
YANASE, Y
LAZZARI, R
JUPILLE, J
BILLETER, JL
SAKAMOTO, S
WAJIMA, F
MACHIDA, M
JEPPS, OG
HENRARD, L
YUTANI, A
SHIRAKI, Y
MPIPKS, AV
TASSEL, PRV
RAMSDEN, JJ
SHVETSOV, V
LIKHACHEV, AA
ULLAKKO, K
ROEHNER, B
GUARDIOLA, X
ROPKA, Z
GEUX, LS
KUSTANOVICH, T
GOTZINGER, M
VENTURINI, F
MORRIS, GD
GREEN, D
LAKE, B
LEFMANN, K
COX, J
HOLLAND, K
BOLTE, J
JOYCE, M
KAINULAINEN, K
PROKOPEC, T
KOUNO, H
NAKANO, M
TUCHITANI, K
AARTS, G
SMIT, J
MARCHETTI, FM
GIBBONS, GW
HERDEIRO, CAR
RAO, K
DEVETAK, I
TIGHE, JF
MARRERO, PJ
ROURA, EA
PILO, L
COGNOLA, G
LENCI, M
BRUN, TA
WANG, H
SAVAGE, VM
GEIGER, H
OBERMAIR, G
SEBASTIAN, KL
ZAGAR, K
KOBAYASHI, A
TSURUTA, A
MATSUURA, T
KURODA, Y
MIYAMOTO, N
KAWATA, T
MIYAKAWA, T
ODA, K
FERRARIO, GC
UHLIG, J
WEIGUNY, A
HOPE, JJ
MOY, GM
KALINAY, P
TRAVENEC, I
HITCHON, ARWNG
VARLAMOV, S
HARRISON, NM
SAUNDERS, VR
GRAYBEAL, JM
CHAKRAVERTY, BK
SKORENKYY, Y
DOVHOPYATY, Y
SKRYPNIK, W
ROOS, J
PRIKHNA, T
MOSHCHIL, V
VIZNICHENKO, R
SANDIUMENGE, F
MELNIKOV, V
SHAETZLE, P
NAGORNY, P
SURZHENKO, A
DUB, S
WENDE, C
KUMZEROV, YA
NIEBIESKIKWIAT, D
AVILA, MA
BILLONI, O
GEBELE, O
PARSHIN, DA
MONTEVECCHI, E
SAVELEV, SE
VERTESY, AMG
TOMITA, Y
MAHARANA, L
HINZE, P
SAMWER, BW
HUG, HJ
SCHENDEL, PJAV
HANKIEWICZ, E
BUCZKO, R
WILAMOWSKI, Z
MIJLING, B
GALLEY, CR
MOCHENA, M
EMBERLY, EG
DHILLON, HS
CRAPPER, MD
KUKTA, RV
FIELDING, SM
MODUGNO, M
BUERKI, J
OPPENLAENDER, J
HAEUSSLER, C
LEMAY, SG
THORNE, RE
BROCK, JD
SURANYI, P
ACHARYYA, AB
KRASOVITSKY, VB
NAUGLE, DG
RATHNAYAKA, KDD
PARASIRIS, A
THIRUVIKRAMAN, PK
HOLME, P
MULDER, B
NICKEL, HA
YEO, TM
KIOSEOGLOU, G
MCCOMBE, BD
PETROU, A
DISERTORI, M
WOOTEN, F
MASLEN, M
BREY, JJ
PRADOS, A
SANCHEZREY, B
BASELMANS, JJA
GRANADA, JC
UCHIDA, N
NERSISYAN, HB
HOVHANNISYAN, AV
HWANG, TCS
CHOY, J
ABE, E
SAITOH, K
TAKAKURA, H
TSAI, AP
STEINHARDT, PJ
JEONG, HC
BASU, B
PAL, D
BANDYOPADHYAY, P
HAUSSMANN, R
GERLAND, U
IGUCHI, Y
TAKAHATA, K
WILKINSON, I
HUGHES, RJ
FISHER, IR
VILJAS, JK
FOURNIER, T
TEDESCO, S
DALZOTTO, B
COTTAM, MG
COLLET, O
LINHARES, CA
QUEIROZ, AFD
MELNYK, RS
BOYCE, BR
PAGET, KM
BEZERRA, CG
ARAUJO, JMD
CHESMAN, C
ALBUQUERQUE, EL
CAZALILLA, MA
DOLADO, JS
SCHMADEL, DC
GRAYSON, M
JENKINS, GS
MCQUEENEY, RJ
GARDNER, JS
IDRIZBEGOVIC, A
ARANDAESPINOZA, H
DAN, N
LUBENSKY, T
RAMOS, L
WEITZ, D
SAHARIAN, AA
MKRTCHYAN, AR
GEVORGIAN, LA
GRIGORIAN, LS
KHACHATRYAN, BV
RUF, T
TARASKIN, SN
ELLIOTT, SR
BARABASHSHARPEE, T
BATURINA, TI
DONATON, RA
BAKLANOV, MR
MAEX, K
PORTAL, EBOAEPJC
STEPHANOVICH, VA
GLINCHUK, MD
HILCZER, B
DOH, Y
SOBIELLA, C
SHERMAN, E
PICHLER, T
MURGIA, M
MICHEL, RH
TREBST, S
LAUBE, F
GOLL, G
LICHTENBERG, F
PELLEGRINI, YP
PERRIN, G
SULE, P
KURTH, S
DOREN, VV
DEMENTYEV, AE
PASTORIZA, H
SCHAADT, K
CABALLERO, A
MOURE, C
KULBACHINSKII, VA
KYTIN, VG
LUNIN, RA
GOLIKOV, AV
MOKEROV, VG
BUGAEV, AS
SENICHKIN, AP
KOENRAAD, PM
KHOA, TV
ESTRELA, P
NAKA, T
BOER, FRD
PEREIRA, LCJ
ALMEIDA, M
LOVE, PJ
SEECK, OH
FEDRO, AJ
GORAL, K
RZAZEWSKI, K
PFAU, T
SHUMWAY, J
MOLA, M
GOY, P
GROSS, M
KOLEVA, RK
GARELICK, D
ALLEGRINI, P
KAWAI, N
COLLETTI, L
CERMELLI, P
MEHRING, M
KREMER, RK
HARREIS, HM
BAUER, W
GRIDIN, VV
VERSCHUERE, M
SCHAEFER, F
MORELLO, A
RAMOS, FM
NETO, CR
ROSA, RR
PLIBERVSEK, S
XIA, JS
SHVARTS, V
ADAMS, ED
GAIDUKOV, YP
DANILOVA, NP
VASSILIEVA, NA
GRASSELLI, Y
ROGACHEVA, EA
MECCOLI, I
BAAKE, E
GABRIEL, W
GUHA, A
PARASHAR, S
RAJU, AR
V, PV
A, FA
FABRICIUS, G
OGAWA, N
PERTSEV, NA
KOUKHAR, VG
VERBEIREN, T
TUZEL, E
FOUKS, BI
ZHAO, J
BERGE, L
TAKAGI, O
TEMST, K
BARANGER, M
NAJI, A
BARUAH, T
ZOPE, RR
KSHIRSAGAR, A
CLERK, A
ZASSENHAUS, GM
HORTON, M
WANG, ZH
BOENI, P
VIRASORO, MA
BUCHBINDER, GL
SHAPOV, VN
SADORI, A
TANG, HX
MONZON, FG
DOBREK, L
GAJDA, M
SENGSTOCK, K
BIRKL, G
ERTMER, W
KHOMENKO, AV
KOVERDA, VP
FRONZONI, L
MONTANGERO, S
CHTCHELKATCHEV, NM
PALA, MG
PALATELLA, L
BOLOGNA, M
RICCARDI, J
KATAOKA, M
PYLYUK, IV
DUKHOVII, VV
TURITSYN, SK
HONG, H
YOON, BG
SOH, KS
RUBTSOV, AN
HLINKA, J
JANSSEN, T
PILGRAM, S
BENEDICT, KA
HILLS, RK
MELLOR, CJ
KOCIAK, M
DEBLOCK, R
JOURNET, C
ZARATE, E
MINEEV, VP
TSIFRINOVICH, VI
LACHMANN, M
QUIROGA, RQ
ARNHOLD, J
ZHIROV, OV
SCHEKOCHIHIN, A
ECKHARDT, B
SUSSMAN, RA
PAVON, D
ZIZZI, PA
WALLISER, H
HOLZWARTH, G
TANZINI, A
SORELLA, SP
ILAKOVAC, A
KOLANOVIC, M
BARNETT, AH
SMITH, SP
JOHNSON, KS
ADAMS, AW
STADLER, PF
TEGMARK, M
ELLINAS, D
MANIADIS, P
IONICIOIU, R
AMARATUNGA, G
UDREA, F
GIERES, F
BACON, D
KEMPE, J
WHALEY, KB
HA, M
SUNDARAM, G
LOPEZ, J
DEDIU, V
DIONIGI, C
CALESTANI, G
JUJO, T
SATAKE, M
GOTO, M
TAGAMI, M
YOSHIDA, K
SIOHARA, Y
TOMIMOTO, K
CIOBANU, CV
HO, TL
GANSHIN, A
GRIGOREV, V
MAIDANOV, V
OMELAENKO, N
PENZEV, A
RUDAVSKII, E
RYBALKO, A
GALLO, P
HARTNIG, C
SPOHR, E
KARCHEV, NI
SINOVA, J
DUPUIS, V
RIVERA, PH
SCHULZ, PA
HUGHES, R
PRESTON, JS
KUNG, PJ
MAY, R
LATHIOTAKIS, NN
SEMENOV, YG
RYABCHENKO, SM
URBAKH, M
VENUTI, LC
PEREZ, D
PIOROLADRIERE, M
LOHMANN, M
NIDDA, HAKV
DISCHNER, M
WITTLIN, A
BRUNO, E
GINATEMPO, B
LEMAY, F
POULIN, D
GUAN, XW
ZHANG, NG
ZHENG, WJ
SHEN, KM
LU, DH
SHIMOYAMA, JI
GU, G
ENTINWOHLMAN, AAO
HEAD, D
EGUILUZ, VM
LEVANYUK, AP
MORRIS, J
YANG, I
SPECHT, M
GHENIM, L
DELEONIBUS, S
GUEGAN, G
GERAMI, R
DAVOUDI, B
KROTKOV, PL
DOBROSAVLJEVICGRUJIC, L
VUJICIC, B
KHARCHENKO, DO
REUTER, D
SCHAFMEISTER, P
FREYTAG, N
GERSHENSON, M
MODUGNO, G
BENKO, C
HANNAFORD, P
ROATI, G
JIMENEZDALMARONI, A
ROZOV, Y
GUO, C
KESSLER, D
ANTONOV, RD
IVANSHIN, VA
DEISENHOFER, J
EREMIN, MV
OOSAWA, A
JINDAL, VK
DHARAMVIR, K
SINGH, S
SANCTUARY, BC
SAHA, SR
MATSUDA, TD
GUO, LJ
CHOU, SY
BEDARD, S
GAYVALLET, H
WATANABE, Y
MEDEIROS, NGFD
VALIDOV, A
BERG, H
KWON, YK
SCHLESENER, F
RAPHAEL, MP
REEVES, ME
SNYDER, KA
TORII, Y
KOZUMA, M
KUGA, T
DENG, L
HAGLEY, EW
LIU, YL
LEARY, R
GARRAWAY, BM
WEIG, F
DURST, AC
GORDY, C
JACKSON, M
LARKIN, IA
NAUD, JD
SCHNEEMEYER, LF
SHIMOYAMA, J
IOMIN, A
AUBIN, S
DOAK, RB
XU, G
WU, JH
RAGGIO, GA
CHOUDHURY, AG
ABRY, P
KREUZER, HJ
PAYNE, SH
CHANG, I
LIEFRINK, F
TEUNISSEN, P
POST, NVD
ELEFTHERIOU, A
KATINE, JA
ALBERT, FJ
HUSSEIN, MS
KHARCHENKO, V
CANTO, LF
CIMPOIASU, E
HARTMAN, JM
SAVKIN, VV
FEDYANIN, AA
PUDONIN, FA
AKTSIPETROV, OA
CARMI, R
ROTSCH, S
JOYE, A
KOVARIK, H
MUJICA, N
MURATOREGINANNESCHI, P
HOSHI, K
CAIN, P
SCHWEIGERT, IV
LUYKEN, RJ
CARVALHO, JX
PRADO, CPC
LINGG, N
MAURER, D
MULLER, V
MCEWEN, KA
OSTERTUN, S
KILTZ, J
BOCK, A
AICHMAYR, G
JETTER, M
DICKERSON, J
CAMINO, F
JIN, R
ZADOROZHNY, Y
HERMAN, DR
MOOJI, JE
WAL, CHVD
LEVITOV, L
LLOYD, S
RAICHEV, OE
VASKO, FT
MAIR, S
MEYER, C
LUTHER, A
EREMIN, M
EREMIN, I
TURLAKOV, M
SHRIVASTAVA, KN
AMMAL, SSC
TSURUYA, H
TAKAMI, S
ENDOU, A
KUBO, M
TERAISHI, K
MIYAMOTO, A
OZAKI, A
NAVE, EL
DAS, EK
VIJAYAGOVINDAN, GV
THIES, M
SMOCK, M
YASUTANI, K
ROEPKE, M
HOLLANDMORITZ, E
LECHNER, RE
LONGEVILLE, S
FITTER, J
KAHN, R
CODDENS, G
FERRAND, M
ALLENDER, DW
JAFARPOUR, FH
VERHEIJEN, HJJ
PRINS, MWJ
GOUDEMOND, IP
KEARTLAND, JM
HOCH, MJR
SAUNDERS, GA
FLEKKOY, EG
GLOSSOP, MT
BENA, I
DOHMEN, MAH
RAMAN, C
KOHL, M
KUKLEWICZ, CE
ARRAYAS, M
STEIN, ND
ARCHUBI, CD
COSTANZA, G
ANDERSSON, PH
NORDSTROM, L
SODERLIND, P
ERIKSSON, O
BOKACHEVA, L
RUIZ, D
BECHINGER, C
RUDHARDT, D
MANGIONI, SE
DEZA, RR
WIO, H
TISSIER, M
SHARMA, RD
RUBHAUSEN, M
SUBKE, KO
EVANGELISTI, M
BARTOLOME, J
LUIS, F
LACOMBE, F
MEYER, B
GUTMANN, M
LAMARRA, SC
KITATANI, H
SINADA, A
DHO, J
REINING, L
TORRENT, M
GORDON, I
MANGIN, S
HANNAHS, ST
SCHEY, B
STRITZKER, B
PRONIN, AV
GONCHAROV, YG
CHERVANYOV, AI
GEBAUER, R
STROSCIO, MA
ALEXANDER, CS
LOCHNER, E
POLYAKOV, SV
CHEN, CP
MOLDOVEANU, V
STUTTGART, M
